treatment,rep,day,camera,batch,date_finished,before_start,before_end,after_start,after_end,exclude
HH,1,1,A,1,11/24/2016,0,28029,35750,117475,0
HH,2,1,D,3,11/30/2016,239230,268820,275455,357721,0
HH,3,1,C,4,02/01/2016,358690,387083,393250,476375,0
HH,4,2,B,1,02/03/2016,0,28640,36391,117896,0
HH,5,2,A,3,02/05/2016,242650,270234,276881,359300,0
HH,6,2,C,4,02/08/2016,362845,390962,399405,481551,0
HH,7,3,C,1,12/10/2016,0,27559,36620,119643,0
HH,8,3,C,3,01/18/16,242701,271410,278360,361045,0
HH,9,3,D,4,8/22/2017,364224,391818,399668,481488,0
HH,10,4,B,2,2/8/2017,118897,147206,154594,236388,0
HH,11,,,,,,,,,1
HH,12,4,C,4,2/16/2017,355379,383037,392553,474043,0
HH,13,5,A,2,2/20/2017,119790,147742,155336,237586,0
HH,14,5,C,2,3/9/2017,119867,147823,155718,237678,0
HH,15,5,A,5,4/14/2017,0,28137,32871,114667,0
HH,16,6,D,1,5/18/2017,0,27721,34536,115882,0
HH,17,6,C,3,6/22/2017,236277,263802,269652,353132,0
HH,18,6,B,4,7/4/2017,355342,383300,389846,471369,0
HL,1,1,C,1,11/11/2016,0,28270,35932,117490,0
HL,2,1,D,2,11/18/2016,118710,146290,152720,234600,0
HL,3,1,D,4,11/19/2016,358807,386990,393090,476315,0
HL,4,2,B,2,11/20/2016,120510,148187,156220,240569,0
HL,5,2,C,2,25/04/2018,120477,149345,156300,240415,0
HL,6,,,,,,,,,1
HL,7,3,B,2,11/23/2016,120815,149260,154795,236946,0
HL,8,3,D,2,11/25/2016,121235,149366,155200,237239,0
HL,9,3,B,4,8/10/2018,362417,391334,399080,480636,0
HL,10,4,A,2,2/13/2017,119022,147290,154570,236483,0
HL,11,,,,,,,,,1
HL,12,4,A,5,3/6/2017,580,28266,36737,117895,0
HL,13,5,B,2,3/2/2017,120550,147763,155404,237541,0
HL,14,5,D,3,3/22/2017,240908,268125,275593,357130,0
HL,15,5,B,5,5/3/2017,0,28085,32911,114690,0
HL,16,6,A,2,5/29/2017,116205,144966,151539,232901,0
HL,17,6,D,2,6/2/2017,116452,145055,151748,232886,0
HL,18,6,A,5,7/18/2017,5444,33185,37758,118834,0
HTx,1,1,B,1,12/13/2016,0,27942,36110,117495,0
HTx,2,1,C,2,12/16/2016,118235,146220,152678,234689,0
HTx,3,1,B,5,01/26/18,0,26600,32395,114101,0
HTx,4,2,A,1,01/10/2017,0,28565,35930,117825,0
HTx,5,2,B,3,01/16/2017,241753,270287,276710,359201,0
HTx,6,2,A,5,01/20/18,0,28545,33830,116870,0
HTx,7,3,B,1,01/19/2017,0,27663,36835,119526,0
HTx,8,3,B,3,01/27/2017,242440,270952,277655,360427,0
HTx,9,3,A,5,9/1/2017,62,28065,31636,112489,0
HTx,10,4,D,1,2/6/2017,0,27692,35302,116815,0
HTx,11,,,,,,,,,1
HTx,12,4,C,5,3/7/2017,650,28147,35900,117800,0
HTx,13,5,C,1,2/28/2017,0,28113,36527,117678,0
HTx,14,5,D,2,3/10/2017,120915,147871,155644,237554,0
HTx,15,5,D,4,5/8/2017,360417,388209,395053,476070,0
HTx,16,6,B,2,,116171,144921,151392,232886,0
HTx,17,6,C,2,6/14/2017,116453,145055,151606,232988,0
HTx,18,,,,,,,,,1
LL,1,1,B,2,02/03/2017,117653,145928,152856,234090,0
LL,2,1,C,3,02/08/2017,238966,268879,275380,357750,0
LL,3,1,B,4,12/13/2016,357362,386610,393365,475900,0
LL,4,2,C,1,02/17/2017,0,28771,36676,118065,0
LL,5,2,D,2,02/22/2017,121562,149315,156403,240412,0
LL,6,2,B,4,02/27/2017,363046,390881,399450,481596,0
LL,7,3,D,1,03/02/2017,0,27518,37995,119625,0
LL,8,3,A,3,01/18/18,242920,271408,278030,360885,0
LL,9,3,C,4,8/16/2017,364120,392412,399842,481521,0
LL,10,4,C,1,1/26/2017,0,27604,35249,116819,0
LL,11,,,,,,,,,1
LL,12,4,D,4,1/30/2017,355263,382950,392573,474026,0
LL,13,5,B,1,2/27/2017,0,27969,36017,117536,0
LL,14,5,C,3,3/24/2017,240205,268267,275565,357253,0
LL,15,5,B,4,4/7/2017,360136,388143,394499,476005,0
LL,16,,,,,,,,,1
LL,17,6,B,3,6/20/2017,235862,263626,269463,350245,0
LL,18,6,C,4,7/6/2017,355661,383487,390072,471635,0
LTx,1,1,D,1,03/08/2017,0,27820,36360,117460,0
LTx,2,1,B,3,03/13/2017,239695,268010,276701,356708,0
LTx,3,1,A,4,03/19/2017,357251,386915,393010,476189,0
LTx,4,2,D,1,03/20/2017,0,28714,37083,118119,0
LTx,5,2,D,3,04/24/2017,242300,274650,276502,359064,0
LTx,6,,,,,,,,,1
LTx,7,3,A,1,07/09/2017,0,27757,36970,118119,0
LTx,8,3,D,3,01/24/18,243660,271455,278460,360750,0
LTx,9,3,A,4,8/7/2017,362892,391938,399720,481476,0
LTx,10,4,A,1,1/17/2017,0,27602,34938,116594,0
LTx,11,4,C,2,1/25/2017,119461,147423,154854,236586,0
LTx,12,4,B,5,1/20/2017,474913,503208,511006,590513,0
LTx,13,5,A,1,2/24/2017,0,27975,35927,117468,0
LTx,14,5,B,3,3/30/2017,240925,268144,275281,357096,0
LTx,15,5,A,4,4/5/2017,360200,388223,394639,476095,0
LTx,16,6,B,1,6/7/2017,0,27725,34498,115868,0
LTx,17,6,A,3,5/31/2017,235864,263735,271772,352993,0
LTx,18,6,A,5,8/1/2017,5309,33032,37688,118711,0
TxTx,1,1,A,2,10/31/2016,117919,146113,153133,234283,0
TxTx,2,1,A,3,11/07/2016,239729,268297,275355,356976,0
TxTx,3,1,A,5,01/29/18,0,19766,25760,107324,0
TxTx,4,2,A,2,07/28/2017,120750,149136,156470,240500,0
TxTx,5,2,C,3,11/21/2016,242104,270332,276466,358977,0
TxTx,6,2,A,4,09/24/2017,363200,390902,399440,481620,0
TxTx,7,3,A,2,01/10/18,121100,149329,154920,237340,0
TxTx,8,3,C,2,01/13/18,120520,149380,154785,237239,0
TxTx,9,3,B,5,10/11/17,3473,31368,34861,110000,0
TxTx,10,4,B,1,2/1/2017,0,27674,34980,116526,0
TxTx,11,4,D,2,10/11/17,119559,147419,154972,236502,0
TxTx,12,4,B,4,2/15/2017,355093,382785,392147,473798,0
TxTx,13,5,D,1,2/22/2017,0,28110,36352,117801,0
TxTx,14,5,A,3,3/15/2017,239815,268173,275247,357166,0
TxTx,15,5,C,4,4/12/2017,360440,388314,394982,476282,0
TxTx,16,,,,,,,,,1
TxTx,17,6,D,3,,236294,263697,269808,353124,0
TxTx,18,6,D,4,7/13/2017,355626,383488,390088,471509,0
,,,,,,,,,,9
