per,treat,rep,case,base,color,prop_selfgrooming
POST,HH,1,case_1,HL,yellow,0
POST,HH,1,case_1,HL,yellow,0
POST,HH,1,case_1,HL,yellow,0
POST,HH,1,case_1,HL,yellow,0
POST,HH,1,case_1,HL,yellow,0
POST,HH,1,case_1,HL,yellow,0
POST,HH,1,case_1,HL,yellow,0
POST,HH,1,case_1,HL,yellow,0.119235095613048
POST,HH,1,case_1,HL,yellow,0.016174010039041
POST,HH,1,case_1,HL,yellow,0.261481481481481
POST,HH,1,case_1,HL,yellow,0.10958904109589
POST,HH,1,case_1,HL,yellow,0.352222222222222
POST,HH,1,case_1,HL,yellow,0
POST,HH,1,case_1,HL,yellow,0
POST,HH,1,case_1,HL,yellow,0
POST,HH,1,case_1,HL,yellow,0.01783723522854
POST,HH,1,case_1,HL,yellow,0
POST,HH,1,case_1,HL,yellow,0.231481481481481
POST,HH,1,case_1,HL,yellow,0
POST,HH,1,case_1,HL,yellow,0
POST,HH,1,case_1,HL,yellow,0
POST,HH,1,case_1,HL,yellow,0.71969696969697
POST,HH,1,case_1,HL,yellow,0
POST,HH,1,case_1,HL,yellow,0.401980198019802
POST,HH,1,case_1,HL,yellow,0.274238227146814
POST,HH,1,case_1,HL,yellow,0.130391670798215
POST,HH,1,case_1,HL,yellow,0.021481481481482
POST,HH,1,case_1,HL,yellow,0.244314489928525
POST,HH,1,case_1,HL,yellow,0.221294363256785
POST,HH,1,case_1,HL,yellow,0
POST,HH,1,case_1,HL,yellow,0.271111111111111
POST,HH,1,case_1,HL,yellow,0.259259259259259
POST,HH,1,case_1,HL,orange,0.031481481481482
POST,HH,1,case_1,HL,orange,0
POST,HH,1,case_1,HL,orange,0
POST,HH,1,case_1,HL,orange,0
POST,HH,1,case_1,HL,orange,0
POST,HH,1,case_1,HL,orange,0
POST,HH,1,case_1,HL,orange,0.038518518518519
POST,HH,1,case_1,HL,orange,0
POST,HH,1,case_1,HL,orange,0
POST,HH,1,case_1,HL,orange,0
POST,HH,1,case_1,HL,orange,0.059961315280464
POST,HH,1,case_1,HL,orange,0.230169050715215
POST,HH,1,case_1,HL,orange,0
POST,HH,1,case_1,HL,red,0.142857142857143
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0.027010435850215
POST,HH,1,case_1,HL,red,0.110169491525424
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0.101057579318449
POST,HH,1,case_1,HL,red,0.066019417475728
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0.191489361702128
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0.033513513513514
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0.103333333333333
POST,HH,1,case_1,HL,red,0.797101449275362
POST,HH,1,case_1,HL,red,0.241935483870968
POST,HH,1,case_1,HL,red,0.265625
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0.222910216718266
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0.069634703196347
POST,HH,1,case_1,HL,red,0.158148148148148
POST,HH,1,case_1,HL,red,0.038834951456311
POST,HH,1,case_1,HL,red,0.291966426858513
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0.167588932806324
POST,HH,1,case_1,HL,red,0.397777777777778
POST,HH,1,case_1,HL,red,0.151515151515152
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0.517629407351838
POST,HH,1,case_1,HL,red,0.240702901512056
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0.183606557377049
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0.061611374407583
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0.596026490066225
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0.205185185185185
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0.46652719665272
POST,HH,1,case_1,HL,red,0.019662921348315
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,red,0
POST,HH,1,case_1,HL,blue,0.164556962025316
POST,HH,1,case_1,HL,blue,0
POST,HH,1,case_1,HL,blue,0
POST,HH,1,case_1,HL,blue,0.593406593406593
POST,HH,1,case_1,HL,blue,0.696296296296296
POST,HH,1,case_1,HL,blue,0.793157076205288
POST,HH,1,case_1,HL,blue,0
POST,HH,1,case_1,HL,blue,0
POST,HH,1,case_1,HL,blue,0.2875
POST,HH,1,case_1,HL,blue,0
POST,HH,1,case_1,HL,blue,0.230710466004584
POST,HH,1,case_1,HL,blue,0
POST,HH,1,case_1,HL,blue,0
POST,HH,1,case_1,HL,blue,0.359410430839002
POST,HH,1,case_1,HL,blue,0
POST,HH,1,case_1,HL,blue,0.202933985330073
POST,HH,1,case_1,HL,blue,0.422352941176471
POST,HH,1,case_1,HL,blue,0.302962962962963
POST,HH,1,case_1,HL,blue,0.047846889952153
POST,HH,1,case_1,HL,blue,0.491620111731844
POST,HH,1,case_1,HL,blue,0
POST,HH,1,case_1,HL,blue,0
POST,HH,1,case_1,HL,blue,0.411851851851852
POST,HH,1,case_1,HL,blue,0.325473521453421
POST,HH,1,case_1,HL,blue,0.388770053475936
POST,HH,1,case_1,HL,blue,0.191343963553531
POST,HH,1,case_1,HL,blue,0
POST,HH,1,case_1,HL,blue,0.531481481481481
POST,HH,1,case_1,HL,blue,0.38037037037037
POST,HH,1,case_1,HL,blue,0.26537216828479
POST,HH,1,case_1,HL,blue,0
POST,HH,1,case_1,HL,blue,0.053333333333333
POST,HH,1,case_1,HL,blue,0.664536741214057
POST,HH,1,case_1,HL,blue,0.265610438024231
POST,HH,1,case_1,HL,blue,0
POST,HH,1,case_1,HL,blue,0.249056603773585
POST,HH,1,case_1,HL,blue,0
POST,HH,1,case_1,HL,blue,0.385555555555556
POST,HH,1,case_1,N,yellow,0
POST,HH,1,case_1,N,orange,0
POST,HH,1,case_1,N,orange,0
POST,HH,1,case_1,N,orange,0
POST,HH,1,case_1,N,orange,0
POST,HH,1,case_1,N,orange,0.055305202785744
POST,HH,1,case_1,N,orange,0.045925925925926
POST,HH,1,case_1,N,red,0.025925925925926
POST,HH,1,case_1,N,red,0.012592592592593
POST,HH,1,case_1,N,red,0
POST,HH,1,case_1,N,red,0
POST,HH,1,case_1,N,red,0
POST,HH,1,case_1,N,red,0.505185185185185
POST,HH,1,case_1,N,red,0.098148148148148
POST,HH,1,case_1,N,red,0
POST,HH,1,case_1,N,red,0.13715710723192
POST,HH,1,case_1,N,red,0.2
POST,HH,1,case_1,N,red,0.105925925925926
POST,HH,1,case_1,N,red,0
POST,HH,1,case_1,N,red,0.058148148148148
POST,HH,1,case_1,N,red,0
POST,HH,1,case_1,N,red,0.126666666666667
POST,HH,1,case_1,N,red,0
POST,HH,1,case_1,N,blue,0.411111111111111
POST,HH,1,case_1,N,blue,0.312962962962963
POST,HH,1,case_1,N,blue,0.172592592592593
POST,HH,1,case_1,N,blue,0.446666666666667
POST,HH,1,case_1,N,blue,0.074626865671642
POST,HH,1,case_1,N,blue,0.455185185185185
POST,HH,1,case_1,N,blue,0.763915547024952
POST,HH,1,case_1,N,blue,0
POST,HH,2,case_1,HL,yellow,0
POST,HH,2,case_1,HL,yellow,0
POST,HH,2,case_1,HL,yellow,0
POST,HH,2,case_1,HL,yellow,0
POST,HH,2,case_1,HL,yellow,0
POST,HH,2,case_1,HL,yellow,0
POST,HH,2,case_1,HL,yellow,0
POST,HH,2,case_1,HL,yellow,0.016270337922403
POST,HH,2,case_1,HL,yellow,0
POST,HH,2,case_1,HL,yellow,0
POST,HH,2,case_1,HL,yellow,0.055185185185185
POST,HH,2,case_1,HL,yellow,0.01037037037037
POST,HH,2,case_1,HL,yellow,0.018518518518519
POST,HH,2,case_1,HL,yellow,0.316568047337278
POST,HH,2,case_1,HL,yellow,0
POST,HH,2,case_1,HL,yellow,0.025925925925926
POST,HH,2,case_1,HL,yellow,0.109706774519717
POST,HH,2,case_1,HL,yellow,0.058518518518519
POST,HH,2,case_1,HL,red,0
POST,HH,2,case_1,HL,red,0.238888888888889
POST,HH,2,case_1,HL,red,0.034782608695652
POST,HH,2,case_1,HL,red,0
POST,HH,2,case_1,HL,red,0
POST,HH,2,case_1,HL,red,0.09861932938856
POST,HH,2,case_1,HL,red,0.093333333333333
POST,HH,2,case_1,HL,red,0
POST,HH,2,case_1,HL,red,0
POST,HH,2,case_1,HL,red,0.230656934306569
POST,HH,2,case_1,HL,red,0.088148148148148
POST,HH,2,case_1,HL,red,0.060288335517693
POST,HH,2,case_1,HL,red,0.041481481481482
POST,HH,2,case_1,HL,red,0.314768771755346
POST,HH,2,case_1,HL,red,0.281175059952038
POST,HH,2,case_1,HL,red,0
POST,HH,2,case_1,HL,red,0
POST,HH,2,case_1,HL,red,0
POST,HH,2,case_1,HL,red,0.496402877697842
POST,HH,2,case_1,HL,red,0.294736842105263
POST,HH,2,case_1,HL,red,0
POST,HH,2,case_1,HL,red,0.054511278195489
POST,HH,2,case_1,HL,red,0.187407407407407
POST,HH,2,case_1,HL,red,0
POST,HH,2,case_1,HL,red,0.006369426751592
POST,HH,2,case_1,HL,red,0.078148148148148
POST,HH,2,case_1,HL,red,0
POST,HH,2,case_1,HL,red,0.253891050583658
POST,HH,2,case_1,HL,red,0.049388523047977
POST,HH,2,case_1,HL,red,0.350588235294118
POST,HH,2,case_1,HL,red,0
POST,HH,2,case_1,HL,red,0.022222222222222
POST,HH,2,case_1,HL,red,0.093333333333333
POST,HH,2,case_1,HL,red,0.27790973871734
POST,HH,2,case_1,HL,red,0.125555555555556
POST,HH,2,case_1,HL,red,0.508361204013378
POST,HH,2,case_1,HL,red,0.180740740740741
POST,HH,2,case_1,HL,blue,0
POST,HH,2,case_1,HL,blue,0
POST,HH,2,case_1,HL,blue,0
POST,HH,2,case_1,HL,blue,0
POST,HH,2,case_1,HL,blue,0.371710526315789
POST,HH,2,case_1,HL,blue,0
POST,HH,2,case_1,HL,blue,0
POST,HH,2,case_1,HL,blue,0
POST,HH,2,case_1,HL,blue,0
POST,HH,2,case_1,HL,blue,0.051301684532925
POST,HH,2,case_1,HL,blue,0
POST,HH,2,case_1,HL,blue,0
POST,HH,2,case_1,HL,blue,0.086277732128184
POST,HH,2,case_1,HL,blue,0.088888888888889
POST,HH,2,case_1,HL,blue,0
POST,HH,2,case_1,HL,blue,0
POST,HH,2,case_1,HL,blue,0
POST,HH,2,case_1,HL,blue,0
POST,HH,2,case_1,HL,blue,0.152542372881356
POST,HH,2,case_1,HL,blue,0
POST,HH,2,case_1,HL,blue,0
POST,HH,2,case_1,HL,blue,0
POST,HH,2,case_1,HL,blue,0
POST,HH,2,case_1,HL,blue,0.011481481481482
POST,HH,2,case_1,HL,blue,0.049259259259259
POST,HH,2,case_1,HL,blue,0
POST,HH,2,case_1,HL,blue,0.051851851851852
POST,HH,2,case_1,HL,blue,0.016091051805338
POST,HH,2,case_1,HL,blue,0.324248777078966
POST,HH,2,case_1,HL,blue,0.008518518518519
POST,HH,2,case_1,HL,blue,0
POST,HH,2,case_1,HL,blue,0
POST,HH,2,case_1,HL,blue,0.066914498141264
POST,HH,2,case_1,HL,blue,0.017037037037037
POST,HH,2,case_1,HL,blue,0.070588235294118
POST,HH,2,case_1,HL,blue,0
POST,HH,2,case_1,HL,blue,0
POST,HH,2,case_1,HL,blue,0.15406976744186
POST,HH,2,case_1,HL,blue,0
POST,HH,2,case_1,HL,blue,0.040740740740741
POST,HH,2,case_1,HL,blue,0
POST,HH,2,case_1,HL,blue,0.020740740740741
POST,HH,2,case_1,HL,blue,0.056666666666667
POST,HH,2,case_1,HL,blue,0
POST,HH,2,case_1,HL,blue,0.083703703703704
POST,HH,2,case_1,HL,green,0
POST,HH,2,case_1,HL,green,0
POST,HH,2,case_1,HL,green,0.307692307692308
POST,HH,2,case_1,HL,green,0
POST,HH,2,case_1,HL,green,0.128888888888889
POST,HH,2,case_1,HL,green,0.092146596858639
POST,HH,2,case_1,HL,green,0
POST,HH,2,case_1,HL,green,0.304444444444444
POST,HH,2,case_1,HL,green,0.277777777777778
POST,HH,2,case_1,HL,green,0.038148148148148
POST,HH,2,case_1,N,yellow,0
POST,HH,2,case_1,N,yellow,0.004208754208754
POST,HH,2,case_1,N,yellow,0
POST,HH,2,case_1,N,yellow,0.005925925925926
POST,HH,2,case_1,N,yellow,0.012976140644621
POST,HH,2,case_1,N,yellow,0.015200868621064
POST,HH,2,case_1,N,yellow,0.026666666666667
POST,HH,2,case_1,N,yellow,0.018518518518519
POST,HH,2,case_1,N,yellow,0.024444444444444
POST,HH,2,case_1,N,yellow,0.151111111111111
POST,HH,2,case_1,N,yellow,0.069958847736626
POST,HH,2,case_1,N,yellow,0.060740740740741
POST,HH,2,case_1,N,yellow,0.027037037037037
POST,HH,2,case_1,N,yellow,0.243076923076923
