treatmentgroup,replicate,period,color,treatment,level,headRFP,headGFP,bodyRFP,bodyGFP,gaster,other,antenna,head,selfG,groomIn,groomOut,totGroomIn,totGroomOut,groomToR,groomToG,groomToT,rankGroomInGeneral,rankGroomInParticular,rankGroomOutGeneral,rankGroomOutParticular,
HL,1,PRE,yellow,N,X,0,300,0,0,0.00544747081712,0.0,0.0181110718076,0.071807569862,0.0309161655465,0.0771842943049,0.0280509373895,0.108100459851,0.058967102936,0.0,0.0,0.0,3.0,3.0,6.0,4.0,
HL,1,PRE,orange,R,L,4675,0,6850,0,0.00665015917934,0.0,0.0137601697913,0.0829854969933,0.0272019808985,0.015387336399,0.0566324725858,0.0425893172975,0.0838344534843,0.0272019808985,0.0,0.0,5.0,1.0,3.0,1.0,
HL,1,PRE,red,N,X,275,1225,0,0,0.017368234878,0.0,0.00240537672444,0.104315528829,0.0306331800495,0.135373187124,0.0508312698974,0.166006367174,0.0814644499469,0.0148921117793,0.0,0.0,1.0,1.0,4.0,3.0,
HL,1,PRE,purple,G,H,0,1875,0,15200,0.00548284400424,0.0,0.021082419526,0.099151043509,0.0551467987266,0.000353731871242,0.0485320127343,0.0555005305978,0.103678811461,0.0,0.0551467987266,0.0,6.0,2.0,5.0,2.0,
HL,1,PRE,blue,N,X,700,325,200,0,0.0107534488857,0.0,0.0107180756986,0.116165546516,0.160311284047,0.0180049522462,0.108171206226,0.178316236293,0.268482490272,0.000495224619738,0.0,0.0,4.0,4.0,1.0,1.0,
HL,1,PRE,green,N,X,0,0,0,0,0.0101874778918,0.0,0.0169083834453,0.0974531305271,0.0875486381323,0.107888220729,0.0619738238415,0.195436858861,0.149522461974,0.0,0.000353731871242,0.0,2.0,2.0,2.0,2.0,
HL,1,POST,yellow,N,X,0,300,0,0,0.00364158022512,0.0,0.0128497510974,0.115856200495,0.0442752397067,0.0791338679222,0.180668971775,0.123409107629,0.224944211481,0.0727335147993,0.0996836607077,0.0,3.0,1.0,4.0,4.0,
HL,1,POST,orange,R,L,4675,0,6850,0,0.00562789671154,0.0,0.00219475710537,0.0178891095907,0.0141984845141,0.48147330734,0.0,0.495671791854,0.0141984845141,0.0141984845141,0.0,0.0,2.0,2.0,6.0,2.0,
HL,1,POST,red,N,X,275,1225,0,0,0.00321243777434,0.0,0.00358027416072,0.0338654699723,0.0111454425072,0.0469727065401,0.41342357586,0.0581181490473,0.424569018367,0.155214693838,0.212965006498,0.0,4.0,2.0,2.0,2.0,
HL,1,POST,purple,G,H,0,1875,0,15200,0.0217391304348,0.0,0.00161848010005,0.11212879178,0.0707104146742,0.732754604085,0.0566100198632,0.80346501876,0.127320434537,0.00275877289782,0.0707104146742,0.0,1.0,1.0,5.0,1.0,
HL,1,POST,blue,N,X,700,325,200,0,0.00141003948111,0.0,0.0107408224822,0.0676451114544,0.0171166531793,0.0347482772996,0.340469359229,0.0518649304789,0.357586012408,0.116358910223,0.183513573163,0.0,6.0,4.0,3.0,3.0,
HL,1,POST,green,N,X,0,0,0,0,0.00289364623949,0.0,0.0101768066897,0.0625444468967,0.0993648691729,0.0368572059148,0.420768042375,0.136222075088,0.520132911548,0.134407415582,0.236592363717,0.0,5.0,3.0,1.0,1.0,
HL,2,PRE,yellow,N,X,425,0,0,0,0.0193618564177,0.0,0.00707034082669,0.0424583031182,0.0137418419144,0.167295141407,0.348259608412,0.181036983321,0.362001450326,0.0158448150834,0.0,0.0,2.0,2.0,2.0,1.0,
HL,2,PRE,orange,N,X,275,400,0,0,0.0107686729514,0.00797679477883,0.00982596084119,0.0279187817259,0.0173313995649,0.0828136330674,0.242530819434,0.100145032632,0.259862218999,0.00968092820885,0.0339738941262,0.0,4.0,4.0,3.0,2.0,
HL,2,PRE,red,R,L,2650,0,2050,0,0.00630891950689,0.00148658448151,0.00232052211748,0.0161711385062,0.0127991298042,0.0401015228426,0.0415518491661,0.0529006526468,0.0543509789703,0.0127991298042,0.0,0.0,6.0,2.0,5.0,2.0,
HL,2,PRE,purple,N,X,325,2475,0,0,0.0260696156635,0.0183466279913,0.00112400290065,0.0145395213923,0.026287164612,0.706925308194,0.018201595359,0.733212472806,0.044488759971,0.0,0.0,0.0,1.0,1.0,6.0,4.0,
HL,2,PRE,blue,G,H,0,3250,0,4350,0.00612762871646,0.00511240029007,0.00797679477883,0.0142494561276,0.0102248005801,0.0413343002175,0.466134880348,0.0515591007977,0.476359680928,0.00855692530819,0.0102248005801,0.0,5.0,1.0,1.0,1.0,
HL,2,PRE,green,N,X,0,0,0,0,0.00960841189268,0.0,0.0123640319072,0.120195794054,0.0255620014503,0.163415518492,0.0852066715011,0.188977519942,0.110768672951,0.0060188542422,0.00736040609137,0.0,3.0,3.0,4.0,3.0,
HL,2,POST,yellow,N,X,425,0,0,0,0.00421348314607,0.00118466047875,0.00434782608696,0.068038593063,0.0166829506595,0.105630190523,0.466634098681,0.122313141182,0.48331704934,0.171152906693,0.111504640938,0.0,6.0,4.0,1.0,1.0,
HL,2,POST,orange,N,X,275,400,0,0,0.00492183683439,0.0115779189057,0.00893991206644,0.0517708842208,0.0633732291158,0.14052271617,0.290657059111,0.203895945286,0.354030288227,0.0878969223254,0.153248656571,0.0,4.0,2.0,2.0,2.0,
HL,2,POST,red,R,L,2650,0,2050,0,0.00547142159257,0.0,0.00129457743039,0.0367733268197,0.0163043478261,0.359196384954,0.0126526624328,0.37550073278,0.0289570102589,0.0163043478261,0.0102833414753,0.0,2.0,2.0,6.0,2.0,
HL,2,POST,purple,N,X,325,2475,0,0,0.00366389838788,0.0216170004885,0.00506839276991,0.052125061065,0.0216414264778,0.136028334148,0.175268685882,0.157669760625,0.19691011236,0.0405593551539,0.0686492427943,0.0,5.0,3.0,4.0,3.0,
