"treatmentgroup","replicate","dish","color","treatment","level","type","headPRE","gasterPRE","selfGPRE","groomInPRE","groomOutPRE","head","gaster","selfG","groomIn","groomOut","HD","SD","PD","RD","GD"
"1","HL","1","HL.1","yellow","N","M","N",0.071807569862,0.00544747081712,0.0309161655465,0.0771842943049,0.0280509373895,0.115856200495,0.00364158022512,0.0442752397067,0.0791338679222,0.180668971775,0.044048630633,0.0133590741602,0.1526180343855,0.0019495736173,-0.001805890592
"2","HL","1","HL.1","orange","R","L","L",0.0829854969933,0.00665015917934,0.0272019808985,0.015387336399,0.0566324725858,0.0178891095907,0.00562789671154,0.0141984845141,0.48147330734,0,-0.0650963874026,-0.0130034963844,-0.0566324725858,0.466085970941,-0.0010222624678
"3","HL","1","HL.1","red","N","M","N",0.104315528829,0.017368234878,0.0306331800495,0.135373187124,0.0508312698974,0.0338654699723,0.00321243777434,0.0111454425072,0.0469727065401,0.41342357586,-0.0704500588567,-0.0194877375423,0.3625923059626,-0.0884004805839,-0.01415579710366
"4","HL","1","HL.1","purple","G","H","H",0.099151043509,0.00548284400424,0.0551467987266,0.000353731871242,0.0485320127343,0.11212879178,0.0217391304348,0.0707104146742,0.732754604085,0.0566100198632,0.012977748271,0.0155636159476,0.0080780071289,0.732400872213758,0.01625628643056
"5","HL","1","HL.1","blue","N","M","N",0.116165546516,0.0107534488857,0.160311284047,0.0180049522462,0.108171206226,0.0676451114544,0.00141003948111,0.0171166531793,0.0347482772996,0.340469359229,-0.0485204350616,-0.1431946308677,0.232298153003,0.0167433250534,-0.00934340940459
"6","HL","1","HL.1","green","N","M","N",0.0974531305271,0.0101874778918,0.0875486381323,0.107888220729,0.0619738238415,0.0625444468967,0.00289364623949,0.0993648691729,0.0368572059148,0.420768042375,-0.0349086836304,0.0118162310406,0.3587942185335,-0.0710310148142,-0.00729383165231
"7","HL","2","HL.2","yellow","N","M","N",0.0424583031182,0.0193618564177,0.0137418419144,0.167295141407,0.348259608412,0.068038593063,0.00421348314607,0.0166829506595,0.105630190523,0.466634098681,0.0255802899448,0.0029411087451,0.118374490269,-0.061664950884,-0.01514837327163
"8","HL","2","HL.2","orange","N","M","N",0.0279187817259,0.0107686729514,0.0173313995649,0.0828136330674,0.242530819434,0.0517708842208,0.00492183683439,0.0633732291158,0.14052271617,0.290657059111,0.0238521024949,0.0460418295509,0.048126239677,0.0577090831026,-0.00584683611701
"9","HL","2","HL.2","red","R","L","L",0.0161711385062,0.00630891950689,0.0127991298042,0.0401015228426,0.0415518491661,0.0367733268197,0.00547142159257,0.0163043478261,0.359196384954,0.0126526624328,0.0206021883135,0.0035052180219,-0.0288991867333,0.3190948621114,-0.00083749791432
"10","HL","2","HL.2","purple","N","M","N",0.0145395213923,0.0260696156635,0.026287164612,0.706925308194,0.018201595359,0.052125061065,0.00366389838788,0.0216414264778,0.136028334148,0.175268685882,0.0375855396727,-0.0046457381342,0.157067090523,-0.570896974046,-0.02240571727562
"11","HL","2","HL.2","blue","G","H","H",0.0142494561276,0.00612762871646,0.0102248005801,0.0413343002175,0.466134880348,0.11829506595,0.0344162188569,0.0539936492428,0.362884709331,0.27254518808,0.1040456098224,0.0437688486627,-0.193589692268,0.3215504091135,0.02828859014044
"12","HL","2","HL.2","green","N","M","N",0.120195794054,0.00960841189268,0.0255620014503,0.163415518492,0.0852066715011,0.1488641915,0.00610649731314,0.119626282364,0.171006350757,0.0575109916952,0.028668397446,0.0940642809137,-0.0276956798059,0.00759083226499999,-0.00350191457954
"13","HL","3","HL.3","yellow","N","M","N",0,0,0,0.0948444097506,0.056700848029,0.0328386902974,0.00152598377891,0.0153799939922,0.0197296485431,0.291306698708,0.0328386902974,0.0153799939922,0.234605850679,-0.0751147612075,0.00152598377891
"14","HL","3","HL.3","orange","G","L","L",0.0289181421424,0.0139800589008,0.0267537167796,0.00244828442678,0.342937231664,0.0759267047161,0.0108741363773,0.0757224391709,0.559555422049,0.0170141183539,0.0470085625737,0.0489687223913,-0.3259231133101,0.55710713762222,-0.0031059225235
"15","HL","3","HL.3","red","R","H","H",0.0178476386474,0.0045062626406,0.0067771351524,0.372706950999,0.0406273285314,0.0215319915891,0,0,0.580066085912,0,0.0036843529417,-0.0067771351524,-0.0406273285314,0.207359134913,-0.0045062626406
"16","HL","3","HL.3","purple","N","M","N",0.011318880176,0.0491076180676,0.00759322996132,0.0862931554483,0.143916545435,0.0505737458696,0.0067647942325,0.0649684589967,0.0211114448783,0.123376389306,0.0392548656936,0.05737522903538,-0.020540156129,-0.06518171057,-0.0423428238351
"17","HL","3","HL.3","blue","N","M","N",0.0736259447184,0.0252989390767,0.0134123407728,0.374516552532,0.20874285917,0.094707119255,0.00665665364974,0.0357825172725,0.01725443076,0.46863322319,0.0210811745366,0.0223701764997,0.25989036402,-0.357262121772,-0.01864228542696
"18","HL","3","HL.3","green","N","M","N",0.0939218677926,0.022815172267,0.0697583649718,0.0751871695703,0.213071709896,0.0238510063082,0.00273956142986,0.0159687593872,0.0136497446681,0.311036347251,-0.0700708614844,-0.0537896055846,0.097964637355,-0.0615374249022,-0.02007561083714
