Treatment,Replicate,Color,Type,Number,Number_correct,Relative_frame,Groom_between,reason_excluded
HH,8,red,H,1,1,17985,453,
HH,8,purple,N,1,1,18956,8019,
HH,8,green,N,1,1,20568,8225,
HH,8,orange,H,1,1,28168,183,
HH,8,blue,N,1,1,41240,17405,
HH,9,yellow,H,1,1,4807,225,
HH,9,blue,N,1,1,6850,2680,
HH,9,yellow,H,2,2,11463,2441,
HH,9,red,N,1,1,13241,8791,
HH,9,purple,H,1,1,42213,196,
HH,9,blue,N,2,2,66401,13685,
HH,10,purple,N,1,1,6831,5124,
HH,10,blue,H,1,1,15423,338,
HH,10,orange,N,1,1,16009,11840,
HH,10,yellow,N,1,1,16493,10575,
HH,10,orange,N,2,2,47535,10973,
HH,12,red,N,1,1,10158,6083,
HH,12,green,H,1,1,12031,522,
HH,12,yellow,N,1,1,12200,9653,
HH,12,yellow,N,2,2,21367,7055,
HH,12,yellow,N,3,3,67939,24768,
HH,13,blue,N,1,1,4454,1411,
HH,13,purple,N,1,1,22162,15385,
HH,13,purple,N,2,2,29401,4805,
HH,13,yellow,N,1,1,38376,7605,
HH,13,green,N,1,1,50921,15215,
HH,14,orange,N,1,1,3448,2356,
HH,14,green,N,1,1,9447,5068,
HH,14,red,N,1,1,10146,8209,
HH,14,green,N,2,2,12236,2026,
HH,14,blue,H,1,1,13922,247,
HH,14,green,N,3,3,27771,10285,
HH,14,red,N,2,2,47278,23551,
HH,14,purple,N,1,1,66475,10357,
HH,16,yellow,,1,,,,did not groom exposed
HH,16,blue,N,1,1,14107,4552,
HH,16,green,N,1,1,26397,10070,
HH,16,orange,H,1,1,42969,721,
HH,16,blue,N,2,2,48281,6115,
HH,16,blue,,3,,,,did not groom exposed
HH,17,blue,,1,,,,did not groom exposed
HH,17,red,N,1,1,9275,7856,
HH,17,orange,H,1,1,11096,176,
HH,17,red,N,2,2,26499,10428,
HH,17,purple,H,1,1,42731,567,
HH,17,green,N,1,1,60168,4084,
HH,17,blue,N,2,1,62249,14193,
HH,18,orange,,1,,,,did not groom exposed
HH,18,orange,,2,,,,did not groom exposed
HH,18,purple,,1,,,,did not groom exposed
HH,18,red,N,1,1,7254,5012,
HH,18,green,N,1,1,12233,3570,
HH,18,red,N,2,2,14608,6208,
HH,18,blue,N,1,1,14893,9281,
HH,18,purple,H,2,1,19327,78,
HH,18,red,N,3,3,27441,9500,
HH,18,purple,H,3,3,28689,4946,
HH,18,yellow,N,1,1,35304,4081,
HH,18,blue,N,2,2,35587,9673,
HH,18,orange,H,3,1,50705,235,
HH,18,orange,H,4,2,57205,535,
HH,18,red,N,4,4,67824,16939,
HL,5,orange,N,1,1,17571,9685,
HL,5,purple,H,1,1,35866,5649,
HL,5,blue,N,1,1,37205,20118,
HL,5,blue,N,2,2,83627,24168,
HL,9,green,N,1,1,5348,4225,
HL,9,purple,N,1,1,12472,8895,
HL,9,blue,N,1,1,23854,17486,
HL,9,green,N,2,2,25063,14521,
HL,9,purple,N,2,2,30721,12732,
HL,9,red,L,1,1,68481,3669,
HL,9,purple,N,3,3,71847,19846,
HL,10,orange,N,1,1,14767,7787,
HL,10,red,N,1,1,15572,12330,
HL,10,green,N,1,1,17877,10363,
HL,10,blue,L,1,1,27355,349,
HL,10,yellow,N,1,1,39784,11030,
HL,10,orange,N,2,2,51034,12491,
HL,12,purple,N,1,1,3739,1526,
HL,12,red,N,1,1,4482,2604,
HL,12,red,N,2,2,19402,6093,
HL,12,blue,H,1,1,24481,1890,
HL,12,purple,N,2,2,32324,8983,
HL,12,red,N,3,3,36587,10478,
HL,12,purple,N,3,3,40274,5829,
HL,12,green,N,1,1,52497,18679,
HL,12,yellow,L,1,1,76236,916,
HL,13,yellow,N,1,1,12907,9555,
HL,13,blue,L,1,1,22157,313,
HL,13,red,H,1,1,35754,610,
HL,13,yellow,N,2,2,45980,17161,
HL,13,red,H,2,2,52610,1551,
HL,13,blue,L,2,2,74652,8976,
