treatment,replicate,window,load_ratio,duration,load_diff,target
HH,1,2,0.434690052697165,536,44221.110887,lowest
HH,1,14,0.574039040455079,474,44262.470807,highest
HH,1,15,0.574408969976739,954,43935.122334,highest
HH,1,18,0.558687402468898,136,33368.176261,highest
HH,1,19,0.557436313936335,43,32252.668469,highest
HH,1,19,0.557436313936335,33,32252.668469,highest
HH,1,19,0.557436313936335,19,32252.668469,highest
HH,1,20,0.55910766208295,506,32637.89366,highest
HH,1,23,0.45263670500196,333,24950.379033,lowest
HH,1,28,0.458907187928176,1462,21071.764886,lowest
HH,1,37,0.461584925137668,536,18089.162733,lowest
HH,1,39,0.465443351379202,74,15854.262216,lowest
HH,1,48,0.522208343184265,98,9659.480316,highest
HH,1,49,0.475429697804694,57,10633.602939,lowest
HH,1,49,0.524570302195306,91,10633.602939,highest
HH,1,49,0.475429697804694,825,10633.602939,lowest
HH,1,53,0.468164808715598,53,12910.899086,lowest
HH,1,54,0.470578085137356,62,11839.408486,lowest
HH,1,62,0.509649669632634,2533,3718.13985200001,highest
HH,1,70,0.514071773803108,20,4890.555131,highest
HH,1,70,0.514071773803108,860,4890.555131,highest
HH,1,72,0.504383405027875,1369,1489.592433,highest
HH,1,77,0.4930553683323,43,2262.352231,lowest
HH,1,77,0.4930553683323,2706,2262.352231,lowest
HH,1,84,0.460523661953234,452,11793.298059,lowest
HH,1,86,0.455586784362971,762,13147.838949,lowest
HH,1,92,0.427362981495717,50,20426.084571,lowest
HH,1,99,0.41501275724307,1026,23313.256825,lowest
HH,1,105,0.379549437897347,1671,31152.811859,lowest
HH,1,110,0.359536357510481,957,34801.883938,lowest
HH,1,112,0.3488543001448,1599,36774.802841,lowest
HH,1,130,0.288139299265021,143,45077.337275,lowest
HH,1,0,0.436569777128231,235,43476.313263,lowest
HH,1,18,0.441312597531102,196,33368.176261,lowest
HH,1,18,0.441312597531102,542,33368.176261,lowest
HH,1,19,0.442563686063665,314,32252.668469,lowest
HH,1,79,0.512972202332924,543,4176.29738800001,highest
HH,1,105,0.620450562102653,143,31152.811859,highest
HH,1,105,0.620450562102653,66,31152.811859,highest
HH,1,115,0.334024225574665,2034,39150.250707,lowest
HH,1,125,0.296077939592092,19,44074.169086,lowest
HH,1,148,0.746203506665026,467,49834.751555,highest
HH,1,149,0.747561423728801,646,49511.515767,highest
HH,1,155,0.750954742968382,1256,46878.190512,highest
HH,1,160,0.756606255894511,525,45016.746717,highest
HH,1,1,0.563475223785997,4006,43503.683149,highest
HH,1,10,0.570347242839317,743,43579.193908,highest
HH,1,12,0.573720495410789,617,44856.149255,highest
HH,1,14,0.574039040455079,489,44262.470807,highest
HH,1,15,0.574408969976739,7,43935.122334,highest
HH,1,15,0.574408969976739,587,43935.122334,highest
HH,1,17,0.564204287565695,2583,36967.066264,highest
HH,1,23,0.54736329499804,338,24950.379033,highest
HH,1,27,0.542938512637947,70,22107.125574,highest
HH,1,28,0.541092812071824,227,21071.764886,highest
HH,1,28,0.541092812071824,146,21071.764886,highest
HH,1,29,0.461330941611717,714,19511.855995,lowest
HH,1,31,0.45201415879307,143,23541.470238,lowest
HH,1,32,0.449984222070694,109,24295.593153,lowest
HH,1,32,0.550015777929306,52,24295.593153,highest
HH,1,32,0.449984222070694,5,24295.593153,lowest
HH,1,32,0.449984222070694,58,24295.593153,lowest
HH,1,34,0.546963626149439,198,22531.855035,highest
HH,1,36,0.539855386301418,734,18826.131111,highest
HH,1,39,0.534556648620798,1161,15854.262216,highest
HH,1,41,0.5252163799471,146,11313.539701,highest
HH,1,42,0.521850115099912,363,9734.220206,highest
HH,1,43,0.519252690903233,136,8530.72750199999,highest
HH,1,43,0.519252690903233,66,8530.72750199999,highest
HH,1,48,0.477791656815735,34,9659.480316,lowest
HH,1,48,0.477791656815735,65,9659.480316,lowest
HH,1,49,0.524570302195306,43,10633.602939,highest
HH,1,49,0.524570302195306,1082,10633.602939,highest
HH,1,52,0.532624916159578,141,13376.586733,highest
HH,1,52,0.532624916159578,514,13376.586733,highest
HH,1,54,0.529421914862644,155,11839.408486,highest
HH,1,54,0.529421914862644,441,11839.408486,highest
HH,1,55,0.527733349388068,315,11095.191247,highest
HH,1,57,0.521827903502846,153,8624.770428,highest
HH,1,57,0.521827903502846,717,8624.770428,highest
HH,1,59,0.51599415822204,58,6243.534743,highest
HH,1,60,0.513439688844508,43,5218.81956400001,highest
HH,1,64,0.497339007666458,918,1010.906172,lowest
HH,1,67,0.499870268352458,120,47.1638389999862,lowest
HH,1,67,0.499870268352458,710,47.1638389999862,lowest
HH,1,69,0.488779503189435,35,3932.811088,lowest
HH,1,69,0.511220496810565,522,3932.811088,highest
HH,1,87,0.454121719033703,61,13545.097576,lowest
HH,1,87,0.454121719033703,1491,13545.097576,lowest
HH,1,91,0.430476288899152,474,19673.967643,lowest
HH,1,95,0.577082675870157,17,21480.899322,highest
HH,1,95,0.577082675870157,37,21480.899322,highest
HH,1,96,0.423444596900938,360,21307.397344,lowest
HH,1,97,0.419298637191099,124,22300.963509,lowest
HH,1,97,0.419298637191099,112,22300.963509,lowest
HH,1,101,0.402696647622118,1659,26141.37665,lowest
HH,1,114,0.662089610225867,966,38785.655808,highest
HH,1,116,0.667486879881629,28,38702.75391,highest
HH,1,120,0.311987422901737,633,41575.264781,lowest
HH,1,122,0.301795168801393,205,43189.27217,lowest
HH,1,125,0.296077939592092,583,44074.169086,lowest
HH,1,136,0.281935871530281,375,45996.402534,lowest
HH,1,137,0.277015514032615,23,46714.159342,lowest
HH,1,137,0.277015514032615,157,46714.159342,lowest
HH,1,138,0.274935972695302,33,47014.583666,lowest
HH,1,138,0.274935972695302,87,47014.583666,lowest
HH,1,141,0.273382693955415,500,47106.70028,lowest
HH,1,148,0.253796493334974,170,49834.751555,lowest
HH,1,148,0.253796493334974,225,49834.751555,lowest
HH,1,149,0.252438576271199,141,49511.515767,lowest
HH,1,150,0.252988359140424,116,48574.042438,lowest
HH,1,151,0.256886164625158,145,46259.523423,lowest
HH,1,151,0.256886164625158,364,46259.523423,lowest
HH,1,153,0.250154002099768,109,46894.278186,lowest
HH,1,155,0.249045257031618,109,46878.190512,lowest
HH,1,156,0.248980716548611,967,46573.674055,lowest
HH,1,158,0.245715819241628,23,45155.776802,lowest
HH,1,158,0.245715819241628,17,45155.776802,lowest
HH,1,166,0.244952941625654,1259,43574.860885,lowest
HH,1,1,0.436524776214003,1238,43503.683149,lowest
HH,1,4,0.430439597070086,131,45840.986549,lowest
HH,1,4,0.430439597070086,319,45840.986549,lowest
HH,1,5,0.431065175207961,1822,45030.36098,lowest
HH,1,9,0.429030906525004,1016,44364.353234,lowest
HH,1,12,0.426279504589211,1033,44856.149255,lowest
HH,1,16,0.569954662726975,32,40816.553601,highest
HH,1,16,0.569954662726975,204,40816.553601,highest
HH,1,17,0.564204287565695,41,36967.066264,highest
HH,1,19,0.442563686063665,591,32252.668469,lowest
HH,1,20,0.55910766208295,760,32637.89366,highest
HH,1,25,0.546202415484413,342,24027.976791,highest
HH,1,26,0.545664538326837,285,23651.699127,highest
HH,1,27,0.542938512637947,780,22107.125574,highest
HH,1,31,0.547985841206931,219,23541.470238,highest
HH,1,32,0.550015777929306,455,24295.593153,highest
HH,1,34,0.546963626149439,789,22531.855035,highest
HH,1,37,0.538415074862332,1050,18089.162733,highest
HH,1,48,0.477791656815735,194,9659.480316,lowest
HH,1,49,0.475429697804694,36,10633.602939,lowest
HH,1,49,0.475429697804694,1202,10633.602939,lowest
HH,1,52,0.467375083840422,61,13376.586733,lowest
HH,1,52,0.467375083840422,64,13376.586733,lowest
HH,1,60,0.513439688844508,332,5218.81956400001,highest
HH,1,66,0.501342271341638,1229,497.574022000001,highest
HH,1,73,0.497836705295534,367,728.003968999998,lowest
HH,1,80,0.485779767620304,409,4506.560255,lowest
HH,1,81,0.479456668552525,556,6379.20861,lowest
HH,1,100,0.412799918089257,403,23830.128761,lowest
HH,1,126,0.706245620816998,19,44429.708807,highest
HH,1,127,0.711677456866389,72,45216.249006,highest
HH,1,127,0.711677456866389,17,45216.249006,highest
HH,1,145,0.261981472050055,525,48712.323904,lowest
HH,1,147,0.255150314173361,104,49650.801203,lowest
HH,1,149,0.747561423728801,538,49511.515767,highest
HH,1,151,0.743113835374842,23,46259.523423,highest
HH,1,154,0.751291364803085,62,47074.823895,highest
HH,1,154,0.751291364803085,16,47074.823895,highest
HH,10,8,0.730132882034402,2885,142965.151921,highest
HH,10,15,0.735151728662159,1151,129648.507656,highest
HH,10,17,0.737643272466024,70,127027.489467,highest
HH,10,18,0.738461909913924,1364,125386.470378,highest
HH,10,21,0.73747587069462,73,119345.792019,highest
HH,10,21,0.73747587069462,1863,119345.792019,highest
HH,10,27,0.746280566659439,1136,112861.363096,highest
HH,10,30,0.740661024813738,575,106158.243268,highest
HH,10,32,0.733866929024186,1458,100151.843041,highest
HH,10,37,0.267776429415845,1327,94530.511984,lowest
HH,10,40,0.751108070288276,765,97312.267783,highest
HH,10,42,0.754377305743229,11,95534.202166,highest
HH,10,45,0.760800939332944,1926,95480.646235,highest
HH,10,50,0.756000828286841,535,84582.014684,highest
HH,10,52,0.748649275218087,271,79337.115221,highest
HH,10,54,0.746632188140753,3467,77145.757025,highest
HH,10,65,0.775681041933426,930,72559.937969,highest
HH,10,68,0.768225241056688,747,67942.764076,highest
HH,10,72,0.762472118807099,503,64875.136883,highest
HH,10,79,0.236060502015077,4,63380.819592,lowest
HH,10,79,0.763939497984923,247,63380.819592,highest
HH,10,83,0.754465800095689,2769,58510.31733,highest
HH,10,89,0.729138827297239,1016,47760.290073,highest
HH,10,92,0.719359037042079,615,44128.533319,highest
HH,10,94,0.71520589702056,922,42142.79066,highest
HH,10,97,0.728406787253598,10,42110.596633,highest
HH,10,98,0.732885898316696,1746,42320.02543,highest
HH,10,120,0.773606356629664,685,39538.240602,highest
HH,10,135,0.261090019628392,485,28626.338543,lowest
HH,10,139,0.248180909932244,261,29409.881827,lowest
HH,10,139,0.248180909932244,293,29409.881827,lowest
