"treat","rep","color","strain","dose","spores"
"HL",1,"yellow","N","X",0
"HL",1,"orange","R","L",87718.576101
"HL",1,"red","N","X",0
"HL",1,"purple","G","H",220979.612908
"HL",1,"blue","N","X",0
"HL",1,"green","N","X",0
"HL",2,"yellow","N","X",0
"HL",2,"orange","N","X",0
"HL",2,"red","R","L",26878.602295
"HL",2,"purple","N","X",0
"HL",2,"blue","G","H",53886.238281
"HL",2,"green","N","X",0
"HL",3,"yellow","N","X",0
"HL",3,"orange","G","L",145506.576202
"HL",3,"red","R","H",255340.135932
"HL",3,"purple","N","X",0
"HL",3,"blue","N","X",0
"HL",3,"green","N","X",0
"HL",4,"yellow","N","X",0
"HL",4,"orange","N","X",0
"HL",4,"red","N","X",0
"HL",4,"purple","R","H",146607.690246
"HL",4,"blue","G","L",322535.18036
"HL",4,"green","N","X",0
"HL",5,"yellow","R","L",289396.086849
"HL",5,"orange","N","X",0
"HL",5,"red","N","X",0
"HL",5,"purple","G","H",110619.858675
"HL",5,"blue","N","X",0
"HL",5,"green","N","X",0
"HL",7,"yellow","N","X",0
"HL",7,"orange","N","X",0
"HL",7,"red","N","X",0
"HL",7,"purple","N","X",0
"HL",7,"blue","G","H",184534.642402
"HL",7,"green","R","L",106671.953738
"HL",8,"yellow","R","L",109630.983633
"HL",8,"orange","N","X",0
"HL",8,"red","G","H",32123.311959
"HL",8,"purple","N","X",0
"HL",8,"blue","N","X",0
"HL",8,"green","N","X",0
"HL",9,"yellow","N","X",0
"HL",9,"orange","G","H",356755.984801
"HL",9,"red","R","L",91336.231832
"HL",9,"purple","N","X",0
"HL",9,"blue","N","X",0
"HL",9,"green","N","X",0
"HL",10,"yellow","N","X",0
"HL",10,"orange","N","X",0
"HL",10,"red","N","X",0
"HL",10,"purple","R","H",191244.62173
"HL",10,"blue","G","L",83675.054412
"HL",10,"green","N","X",0
"HL",12,"yellow","G","L",295959.414631
"HL",12,"orange","N","X",0
"HL",12,"red","N","X",0
"HL",12,"purple","N","X",0
"HL",12,"blue","R","H",81825.348407
"HL",12,"green","N","X",0
"HL",13,"yellow","N","X",0
"HL",13,"orange","N","X",0
"HL",13,"red","R","H",127926.175952
"HL",13,"purple","N","X",0
"HL",13,"blue","G","L",79190.718203
"HL",13,"green","N","X",0
"HL",14,"yellow","N","X",0
"HL",14,"orange","N","X",0
"HL",14,"red","N","X",0
"HL",14,"purple","N","X",0
"HL",14,"blue","G","L",60984.505371
"HL",14,"green","R","H",107225.079202
"HL",15,"yellow","G","H",94564.956828
"HL",15,"orange","N","X",0
"HL",15,"red","N","X",0
"HL",15,"purple","R","L",172022.528499
"HL",15,"blue","N","X",0
"HL",15,"green","N","X",0
"HL",16,"yellow","N","X",0
"HL",16,"orange","G","H",172701.906597
"HL",16,"red","N","X",0
"HL",16,"purple","N","X",0
"HL",16,"blue","N","X",0
"HL",16,"green","R","L",210233.958243
"HL",17,"yellow","N","X",0
"HL",17,"orange","N","X",0
"HL",17,"red","N","X",0
"HL",17,"purple","N","X",0
"HL",17,"blue","R","H",155397.511088
"HL",17,"green","G","L",320089.449714
"HL",18,"yellow","R","L",75281.390368
"HL",18,"orange","G","H",199942.870082
"HL",18,"red","N","X",0
"HL",18,"purple","N","X",0
"HL",18,"blue","N","X",0
"HL",18,"green","N","X",0
"HH",1,"yellow","N","X",0
"HH",1,"orange","N","X",0
"HH",1,"red","N","X",0
"HH",1,"purple","R","H",193093.038006
"HH",1,"blue","N","X",0
"HH",1,"green","G","H",149616.724743
"HH",2,"yellow","N","X",0
"HH",2,"orange","G","H",86315.144141
"HH",2,"red","N","X",0
"HH",2,"purple","R","H",244411.624265
"HH",2,"blue","N","X",0
"HH",2,"green","N","X",0
"HH",3,"yellow","G","H",165053.536459
"HH",3,"orange","N","X",0
"HH",3,"red","N","X",0
"HH",3,"purple","N","X",0
"HH",3,"blue","R","H",138431.691766
"HH",3,"green","N","X",0
"HH",4,"yellow","G","H",150578.732645
"HH",4,"orange","R","H",187575.237614
"HH",4,"red","N","X",0
"HH",4,"purple","N","X",0
"HH",4,"blue","N","X",0
"HH",4,"green","N","X",0
